level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2342	3355	-1	
2	1	1	0	0	0	2205	375	78	40	-1	
3	1	1	1	0	0	2205	375	78	40	-1	
4	1	1	1	1	0	2205	375	78	40	-1	
5	1	1	1	1	1	2205	375	78	40	0.000000	3
2	1	2	0	0	0	1130	644	340	105	-1	
3	1	2	1	0	0	1130	644	340	105	-1	
4	1	2	1	1	0	1130	644	340	105	-1	
5	1	2	1	1	1	1130	670	149	79	29.629589	4
5	1	2	1	1	2	1310	644	160	63	0.000000	3
2	1	3	0	0	0	911	771	424	111	-1	
3	1	3	1	0	0	911	771	424	111	-1	
4	1	3	1	1	0	911	771	424	111	-1	
5	1	3	1	1	1	911	771	424	111	0.000000	8
2	1	4	0	0	0	1787	852	29	23	-1	
3	1	4	1	0	0	1787	817	164	70	-1	
4	1	4	1	1	0	1787	852	29	23	-1	
5	1	4	1	1	1	1787	852	29	23	96.900780	12
2	1	5	0	0	0	2036	909	31	24	-1	
3	1	5	1	0	0	2036	909	31	24	-1	
4	1	5	1	1	0	2036	909	31	24	-1	
5	1	5	1	1	1	2036	909	31	24	96.284027	15
2	1	6	0	0	0	867	952	59	12	-1	
3	1	6	1	0	0	867	952	59	12	-1	
4	1	6	1	1	0	867	952	59	12	-1	
5	1	6	1	1	1	867	952	59	12	0.000000	2225
2	1	7	0	0	0	1950	947	30	23	-1	
3	1	7	1	0	0	1950	947	30	23	-1	
4	1	7	1	1	0	1950	947	30	23	-1	
5	1	7	1	1	1	1950	947	30	23	96.827965	16
2	1	8	0	0	0	860	978	67	28	-1	
3	1	8	1	0	0	860	978	67	28	-1	
4	1	8	1	1	0	860	978	67	28	-1	
5	1	8	1	1	1	860	978	67	28	0.000000	18
2	1	9	0	0	0	1539	957	123	46	-1	
3	1	9	1	0	0	1539	957	123	46	-1	
4	1	9	1	1	0	1539	957	123	46	-1	
5	1	9	1	1	1	1539	957	123	46	34.287079	17
2	1	10	0	0	0	150	992	167	26	-1	
3	1	10	1	0	0	150	992	167	26	-1	
4	1	10	1	1	0	150	992	167	26	-1	
5	1	10	1	1	1	150	992	167	26	0.000000	11400000
2	1	11	0	0	0	1309	1021	44	23	-1	
3	1	11	1	0	0	1309	1021	44	23	-1	
4	1	11	1	1	0	1309	1021	44	23	-1	
5	1	11	1	1	1	1309	1021	44	23	84.016632	195
2	1	12	0	0	0	1058	1051	32	23	-1	
3	1	12	1	0	0	1058	1051	32	23	-1	
4	1	12	1	1	0	1058	1051	32	23	-1	
5	1	12	1	1	1	1058	1051	32	23	96.990417	20
