level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3269	4684	-1	
2	1	1	0	0	0	1668	905	392	91	-1	
3	1	1	1	0	0	1668	905	392	91	-1	
4	1	1	1	1	0	1668	905	392	91	-1	
5	1	1	1	1	1	1668	905	392	91	41.330521	3
2	1	2	0	0	0	2842	1270	43	33	-1	
3	1	2	1	0	0	2842	1270	43	33	-1	
4	1	2	1	1	0	2842	1270	43	33	-1	
5	1	2	1	1	1	2842	1270	43	33	96.659622	15
2	1	3	0	0	0	1210	1329	82	16	-1	
3	1	3	1	0	0	1210	1329	82	16	-1	
4	1	3	1	1	0	1210	1329	82	16	-1	
5	1	3	1	1	1	1210	1329	82	16	0.000000	2225
2	1	4	0	0	0	2148	1336	42	33	-1	
3	1	4	1	0	0	2148	1336	42	33	-1	
4	1	4	1	1	0	2148	1336	42	33	-1	
5	1	4	1	1	1	2148	1336	42	33	96.620888	17
2	1	5	0	0	0	2722	1322	42	33	-1	
3	1	5	1	0	0	2722	1322	42	33	-1	
4	1	5	1	1	0	2722	1322	42	33	-1	
5	1	5	1	1	1	2722	1322	42	33	96.928192	16
2	1	6	0	0	0	1200	1372	41	33	-1	
3	1	6	1	0	0	1200	1372	41	33	-1	
4	1	6	1	1	0	1200	1372	41	33	-1	
5	1	6	1	1	1	1200	1372	41	33	96.934258	18
2	1	7	0	0	0	209	1385	233	36	-1	
3	1	7	1	0	0	209	1385	233	36	-1	
4	1	7	1	1	0	209	1385	233	36	-1	
5	1	7	1	1	1	209	1385	233	36	0.000000	11400000
2	1	8	0	0	0	1477	1467	45	33	-1	
3	1	8	1	0	0	1477	1467	45	33	-1	
4	1	8	1	1	0	1477	1467	45	33	-1	
5	1	8	1	1	1	1477	1467	45	33	97.012650	20
2	1	9	0	0	0	1802	1390	140	88	-1	
3	1	9	1	0	0	1802	1390	140	88	-1	
4	1	9	1	1	0	1802	1390	140	88	-1	
5	1	9	1	1	1	1802	1390	140	88	52.190849	419
2	1	10	0	0	0	2486	1466	39	34	-1	
3	1	10	1	0	0	2486	1466	39	34	-1	
4	1	10	1	1	0	2486	1466	39	34	-1	
5	1	10	1	1	1	2486	1466	39	34	96.410690	21
2	1	11	0	0	0	1161	1517	45	33	-1	
3	1	11	1	0	0	1161	1517	45	33	-1	
4	1	11	1	1	0	1161	1517	45	33	-1	
5	1	11	1	1	1	1161	1517	45	33	96.830795	24
2	1	12	0	0	0	2021	1515	46	34	-1	
3	1	12	1	0	0	2021	1515	46	34	-1	
4	1	12	1	1	0	2021	1515	46	34	-1	
5	1	12	1	1	1	2021	1515	46	34	96.909615	23
2	1	13	0	0	0	2781	1471	64	61	-1	
3	1	13	1	0	0	2746	1431	99	101	-1	
4	1	13	1	1	0	2781	1471	64	61	-1	
5	1	13	1	1	1	2781	1471	64	61	67.041481	22
2	1	14	0	0	0	1142	1665	77	72	-1	
3	1	14	1	0	0	1142	1665	77	72	-1	
4	1	14	1	1	0	1142	1665	77	72	-1	
5	1	14	1	1	1	1142	1665	77	72	0.000000	26
2	1	15	0	0	0	2739	1723	46	34	-1	
3	1	15	1	0	0	2739	1723	46	34	-1	
4	1	15	1	1	0	2739	1723	46	34	-1	
5	1	15	1	1	1	2739	1723	46	34	96.975166	27
2	1	16	0	0	0	1552	1833	39	34	-1	
3	1	16	1	0	0	1552	1833	39	34	-1	
4	1	16	1	1	0	1552	1833	39	34	-1	
5	1	16	1	1	1	1552	1833	39	34	96.116486	31
2	1	17	0	0	0	2225	1835	46	33	-1	
3	1	17	1	0	0	2225	1835	46	33	-1	
4	1	17	1	1	0	2225	1835	46	33	-1	
5	1	17	1	1	1	2225	1835	46	33	96.788933	32
2	1	18	0	0	0	2430	1800	45	33	-1	
3	1	18	1	0	0	2430	1800	45	33	-1	
4	1	18	1	1	0	2430	1800	45	33	-1	
5	1	18	1	1	1	2430	1800	45	33	96.966522	29
2	1	19	0	0	0	1144	1893	66	83	-1	
3	1	19	1	0	0	1144	1893	66	83	-1	
4	1	19	1	1	0	1144	1893	66	83	-1	
5	1	19	1	1	1	1144	1893	66	83	53.176582	8
2	1	20	0	0	0	1374	1911	68	32	-1	
3	1	20	1	0	0	1374	1911	68	32	-1	
4	1	20	1	1	0	1374	1911	68	32	-1	
5	1	20	1	1	1	1374	1911	68	32	0.000000	34
2	1	21	0	0	0	2023	2023	46	32	-1	
3	1	21	1	0	0	2023	2023	46	32	-1	
4	1	21	1	1	0	2023	2023	46	32	-1	
5	1	21	1	1	1	2023	2023	46	32	96.987495	36
2	1	22	0	0	0	1295	2076	46	34	-1	
3	1	22	1	0	0	1295	2076	46	34	-1	
4	1	22	1	1	0	1295	2076	46	34	-1	
5	1	22	1	1	1	1295	2076	46	34	96.999756	40
2	1	23	0	0	0	1671	2066	57	45	-1	
3	1	23	1	0	0	1671	2066	57	45	-1	
4	1	23	1	1	0	1671	2066	57	45	-1	
5	1	23	1	1	1	1671	2066	57	45	0.000000	44
2	1	24	0	0	0	2148	2020	262	113	-1	
3	1	24	1	0	0	2148	2020	262	113	-1	
4	1	24	1	1	0	2148	2020	262	113	-1	
5	1	24	1	1	1	2148	2020	262	113	0.000000	5
2	1	25	0	0	0	1045	2103	253	91	-1	
3	1	25	1	0	0	1045	2103	253	91	-1	
4	1	25	1	1	0	1045	2103	253	91	-1	
5	1	25	1	1	1	1045	2103	99	91	0.000000	43
5	1	25	1	1	2	1170	2114	128	68	56.427460	44
2	1	26	0	0	0	1068	2221	46	33	-1	
3	1	26	1	0	0	1068	2221	46	33	-1	
4	1	26	1	1	0	1068	2221	46	33	-1	
5	1	26	1	1	1	1068	2221	46	33	96.960060	45
2	1	27	0	0	0	1488	2224	74	64	-1	
3	1	27	1	0	0	1186	2201	376	87	-1	
4	1	27	1	1	0	1488	2224	74	64	-1	
5	1	27	1	1	1	1488	2224	74	64	37.606293	46
2	1	28	0	0	0	2578	2255	47	34	-1	
3	1	28	1	0	0	2578	2255	47	34	-1	
4	1	28	1	1	0	2578	2255	47	34	-1	
5	1	28	1	1	1	2578	2255	47	34	96.070404	48
2	1	29	0	0	0	1185	2326	84	42	-1	
3	1	29	1	0	0	1185	2326	84	42	-1	
4	1	29	1	1	0	1185	2326	84	42	-1	
5	1	29	1	1	1	1185	2326	84	42	0.000000	2
2	1	30	0	0	0	1040	2394	26	28	-1	
3	1	30	1	0	0	1040	2394	26	28	-1	
4	1	30	1	1	0	1040	2394	26	28	-1	
5	1	30	1	1	1	1040	2394	26	28	0.000000	3
2	1	31	0	0	0	1932	2366	45	34	-1	
3	1	31	1	0	0	1932	2366	45	34	-1	
4	1	31	1	1	0	1932	2366	45	34	-1	
5	1	31	1	1	1	1932	2366	45	34	96.413574	53
2	1	32	0	0	0	2205	2389	45	33	-1	
3	1	32	1	0	0	2205	2389	45	33	-1	
4	1	32	1	1	0	2205	2389	45	33	-1	
5	1	32	1	1	1	2205	2389	45	33	87.715637	57
2	1	33	0	0	0	1374	2412	167	53	-1	
3	1	33	1	0	0	1374	2412	167	53	-1	
4	1	33	1	1	0	1374	2412	167	53	-1	
5	1	33	1	1	1	1374	2412	167	53	0.000000	58
2	1	34	0	0	0	2756	2414	44	33	-1	
3	1	34	1	0	0	2756	2414	44	33	-1	
4	1	34	1	1	0	2756	2414	44	33	-1	
5	1	34	1	1	1	2756	2414	44	33	95.074684	59
2	1	35	0	0	0	958	2508	45	33	-1	
3	1	35	1	0	0	958	2508	45	33	-1	
4	1	35	1	1	0	958	2508	45	33	-1	
5	1	35	1	1	1	958	2508	45	33	97.002289	63
2	1	36	0	0	0	1080	2543	46	33	-1	
3	1	36	1	0	0	1080	2543	46	33	-1	
4	1	36	1	1	0	1080	2543	46	33	-1	
5	1	36	1	1	1	1080	2543	46	33	96.169716	67
2	1	37	0	0	0	1625	2516	75	33	-1	
3	1	37	1	0	0	1625	2516	75	33	-1	
4	1	37	1	1	0	1625	2516	75	33	-1	
5	1	37	1	1	1	1625	2516	75	33	0.000000	64
2	1	38	0	0	0	1421	2594	144	37	-1	
3	1	38	1	0	0	1421	2594	144	37	-1	
4	1	38	1	1	0	1421	2594	144	37	-1	
5	1	38	1	1	1	1421	2594	144	37	0.000000	6869
2	1	39	0	0	0	952	2622	46	33	-1	
3	1	39	1	0	0	952	2622	46	33	-1	
4	1	39	1	1	0	952	2622	46	33	-1	
5	1	39	1	1	1	952	2622	46	33	0.000000	2
2	1	40	0	0	0	1710	2600	172	82	-1	
3	1	40	1	0	0	1710	2600	172	82	-1	
4	1	40	1	1	0	1710	2600	172	82	-1	
5	1	40	1	1	1	1710	2600	172	82	0.000000	7
2	1	41	0	0	0	2331	2653	39	33	-1	
3	1	41	1	0	0	2331	2653	39	33	-1	
4	1	41	1	1	0	2331	2653	39	33	-1	
5	1	41	1	1	1	2331	2653	39	33	87.305496	73
2	1	42	0	0	0	1118	2689	46	33	-1	
3	1	42	1	0	0	853	2651	311	84	-1	
4	1	42	1	1	0	1118	2689	46	33	-1	
5	1	42	1	1	1	1118	2689	46	33	96.568359	78
2	1	43	0	0	0	1397	2670	46	34	-1	
3	1	43	1	0	0	1397	2670	46	34	-1	
4	1	43	1	1	0	1397	2670	46	34	-1	
5	1	43	1	1	1	1397	2670	46	34	92.808792	75
2	1	44	0	0	0	1752	2674	45	34	-1	
3	1	44	1	0	0	1752	2674	45	34	-1	
4	1	44	1	1	0	1752	2674	45	34	-1	
5	1	44	1	1	1	1752	2674	45	34	96.833145	76
2	1	45	0	0	0	2310	2745	44	33	-1	
3	1	45	1	0	0	2310	2745	44	33	-1	
4	1	45	1	1	0	2310	2745	44	33	-1	
5	1	45	1	1	1	2310	2745	44	33	96.744026	85
2	1	46	0	0	0	2393	2717	44	34	-1	
3	1	46	1	0	0	2393	2717	44	34	-1	
4	1	46	1	1	0	2393	2717	44	34	-1	
5	1	46	1	1	1	2393	2717	44	34	96.249672	79
2	1	47	0	0	0	2628	2731	38	34	-1	
3	1	47	1	0	0	2628	2731	38	34	-1	
4	1	47	1	1	0	2628	2731	38	34	-1	
5	1	47	1	1	1	2628	2731	38	34	92.396225	81
2	1	48	0	0	0	1738	2740	141	94	-1	
3	1	48	1	0	0	1738	2740	141	94	-1	
4	1	48	1	1	0	1738	2740	141	94	-1	
5	1	48	1	1	1	1738	2740	141	94	0.000000	66
2	1	49	0	0	0	1660	2844	322	61	-1	
3	1	49	1	0	0	1660	2844	322	61	-1	
4	1	49	1	1	0	1660	2844	322	61	-1	
5	1	49	1	1	1	1660	2844	322	61	0.000000	1
2	1	50	0	0	0	491	2968	37	26	-1	
3	1	50	1	0	0	491	2968	37	26	-1	
