level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2342	3355	-1	
2	1	1	0	0	0	1093	173	725	13	-1	
3	1	1	1	0	0	1093	173	725	13	-1	
4	1	1	1	1	0	1093	173	725	13	-1	
5	1	1	1	1	1	1093	173	725	13	95.000000	 
2	1	2	0	0	0	1093	173	14	367	-1	
3	1	2	1	0	0	1093	173	14	367	-1	
4	1	2	1	1	0	1093	173	14	367	-1	
5	1	2	1	1	1	1093	173	14	367	95.000000	 
2	1	3	0	0	0	1808	174	12	366	-1	
3	1	3	1	0	0	1808	174	12	366	-1	
4	1	3	1	1	0	1808	174	12	366	-1	
5	1	3	1	1	1	1808	174	12	366	95.000000	 
2	1	4	0	0	0	1093	528	726	12	-1	
3	1	4	1	0	0	1093	528	726	12	-1	
4	1	4	1	1	0	1093	528	726	12	-1	
5	1	4	1	1	1	1093	528	726	12	95.000000	 
2	1	5	0	0	0	1549	558	224	8	-1	
3	1	5	1	0	0	1549	558	224	8	-1	
4	1	5	1	1	0	1549	558	224	8	-1	
5	1	5	1	1	1	1549	558	224	8	95.000000	 
2	1	6	0	0	0	1549	530	10	145	-1	
3	1	6	1	0	0	1549	530	10	145	-1	
4	1	6	1	1	0	1549	530	10	145	-1	
5	1	6	1	1	1	1549	530	10	145	95.000000	 
2	1	7	0	0	0	1764	557	9	119	-1	
3	1	7	1	0	0	1764	557	9	119	-1	
4	1	7	1	1	0	1764	557	9	119	-1	
5	1	7	1	1	1	1764	557	9	119	95.000000	 
2	1	8	0	0	0	1549	665	241	9	-1	
3	1	8	1	0	0	1549	665	241	9	-1	
4	1	8	1	1	0	1549	665	241	9	-1	
5	1	8	1	1	1	1549	665	241	9	95.000000	 
2	1	9	0	0	0	150	992	167	26	-1	
3	1	9	1	0	0	150	992	167	26	-1	
4	1	9	1	1	0	150	992	167	26	-1	
5	1	9	1	1	1	150	992	167	26	0.000000	11.400.000
2	1	10	0	0	0	1361	1673	80	3	-1	
3	1	10	1	0	0	1361	1673	80	3	-1	
4	1	10	1	1	0	1361	1673	80	3	-1	
5	1	10	1	1	1	1361	1673	80	3	95.000000	 
2	1	11	0	0	0	1367	1673	3	76	-1	
3	1	11	1	0	0	1367	1673	3	76	-1	
4	1	11	1	1	0	1367	1673	3	76	-1	
5	1	11	1	1	1	1367	1673	3	76	95.000000	 
2	1	12	0	0	0	1433	1673	3	76	-1	
3	1	12	1	0	0	1433	1673	3	76	-1	
4	1	12	1	1	0	1433	1673	3	76	-1	
5	1	12	1	1	1	1433	1673	3	76	95.000000	 
2	1	13	0	0	0	1361	1742	75	1	-1	
3	1	13	1	0	0	1361	1742	75	1	-1	
4	1	13	1	1	0	1361	1742	75	1	-1	
5	1	13	1	1	1	1361	1742	75	1	95.000000	 
2	1	14	0	0	0	638	2110	3	83	-1	
3	1	14	1	0	0	638	2110	3	83	-1	
4	1	14	1	1	0	638	2110	3	83	-1	
5	1	14	1	1	1	638	2110	3	83	95.000000	 
2	1	15	0	0	0	0	0	2342	3355	-1	
3	1	15	1	0	0	0	0	2342	3355	-1	
4	1	15	1	1	0	0	0	2342	3355	-1	
5	1	15	1	1	1	0	0	2342	3355	95.000000	 
